식재료명,식품분류,식품이미지URL,음식이미지URL,new_image_url
가리비,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_1BAB7322FE33CC019FC453222C2F490E.jpg
가오리,어패류 및 기타 수산물,,,https://recipe1.ezmember.co.kr/cache/recipe/2022/10/09/aaad38b4f5776a0ba4b18c83e0a17b061.jpg
가자미,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_7ADAE6E4709CA187B35596DC2FD68962.jpg
가지,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_049.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_062.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_B7AE22A5A487FA06501BE1BEC26EF1D0.jpg
간장,조미료류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_095.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_023E1ED374797573A757210A0988B2E8.jpg
갈치,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EF34928CAFCB841A1A1F60220BDCC00D.jpg
감,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_7CFFB2D9A6CFE36E57E2112DFDF0F6C7.jpg
감자,감자 및 전분류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_067.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_016.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_F030FBF7A1775F3F01E630A9867341FF.jpg
갓,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_164.jpg,https://img.lovepik.com/photo/20211120/medium/lovepik-cabbage-mustard-picture_500499212.jpg
강낭콩,두류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_C10C2673F96D64EE21B1BB9FFA6DFF36.jpg
강낭콩,두류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_C10C2673F96D64EE21B1BB9FFA6DFF36.jpg
갯나물,채소류,,,https://recipe1.ezmember.co.kr/cache/recipe/2024/04/04/2a87de65c429d08d8ac46a672220ec341.jpg
거위알,난류,,,https://png.pngtree.com/background/20211217/original/pngtree-food-goose-egg-photography-map-picture-image_1562084.jpg
게,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_064.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_55A37B0870AE8C56EA10E43EF0584AFB.jpg
겨자,조미료류,,,
고구마,감자 및 전분류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_CAB164DBCE58BA346ECA238C9DDCCF46.jpg
고들빼기,채소류,,,https://recipe1.ezmember.co.kr/cache/recipe/2022/08/31/aa57e40e6ea4afc463849a27ae72db591.jpg
고등어,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1254-5/978-89-480-1254-5_A_135.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_BA42972E78F24B6F5B7ADD3A2077240C.jpg
곤드레,채소류,,,https://www.korea.kr/newsWeb/resources/temp/images/000108/gondeule_top.jpg
고비,채소류,,,http://www.lampcook.com/wi_files/food_medisub/18.jpg
고사리,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_085.jpg,,https://cdn.crowdpic.net/detail-thumb/thumb_d_013864E08EC8F43294B8E1A3741DD53E.jpg
고수,채소류,,,https://health.chosun.com/site/data/img_dir/2022/12/02/2022120201864_0.jpg
고추,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_216A2FCA54FFCB8A9D3D8EDF6B502EAF.jpg
고추장,조미료류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_0DACE263332CCE8DB840B5D9680A42AB.jpg
고추장,조미료류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_045.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_0DACE263332CCE8DB840B5D9680A42AB.jpg
고춧가루,조미료류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_04CED9E3DB522C8F4411C696E788B017.jpg
고춧잎,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_038.jpg,,https://recipe1.ezmember.co.kr/cache/recipe/2020/06/20/7b58ea9a5a35c7924d9129c2030fd1b91.jpg
곤약,감자 및 전분류,,,http://img2.tmon.kr/cdn4/deals/2023/05/11/18050313694/18050313694_front_c96e432c9c.jpg
구스베리,과일류,,,https://cdn.pixabay.com/photo/2020/05/07/01/00/gooseberry-5139801_960_720.jpg
구아바,과일류,,,https://img.lovepik.com/photo/20211130/medium/lovepik-red-heart-fruit-guava-picture_501237913.jpg
굴,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_B83E4D933490E79B0B96D477F6B1EC07.jpg
굴 소스,조미료류,,,https://img.cjthemarket.com/images/file/product/991/20230829084854797.jpg
귀리,곡류 및 그 제품,,,https://png.pngtree.com/thumb_back/fw800/background/20230120/pngtree-whole-grains-organic-oats-rice-coarse-grains-food-ingredients-high-definition-image_1536258.jpg
귤,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_8312E9DC462CBB508000456882CC398B.jpg
근대,채소류,,,https://image.utoimage.com/preview/cp975433/2022/05/202205001285_500.jpg
금귤,과일류,,,https://watermark.lovepik.com/photo/20211123/large/lovepik-kumquat-picture_500833551.jpg
기장,곡류 및 그 제품,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_C77295FE0A6F471E922D2827190D819F.jpg
김,해조류,,,https://media.istockphoto.com/id/2157374227/ko/사진/나무-접시에-말린-김-시트와-젓가락-아시안-식재료.jpg?s=1024x1024&w=is&k=20&c=scxx1FF_r_ew7N_QN__oQv6IZcYu3tIautOnsn-RVHQ=
김치,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_053.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5631-0/978-89-480-5631-0_A_50.jpg,https://img.lovepik.com/photo/20211126/medium/lovepik-spicy-cabbage-picture_501092568.jpg
까나리,어패류 및 기타 수산물,,,https://img1.tmon.kr/cdn4/deals/2024/06/23/27099779426/front_b8e29_ixqf4.jpg
꼬막,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_040.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_C1D9867B64C29FA7368CF8F5AD326CC8.jpg
꼬막,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EB3C5A643FB5274AA5EEBF108F05E25B.jpg
꼴뚜기,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_6E15E8F93A11D0E4B8E4D892A26B434E.jpg
꽁치,어패류 및 기타 수산물,,,https://i.pinimg.com/736x/07/13/1e/07131ef42e689643c859e980b4582f28.jpg
콜리플라워,채소류,,,https://cdn.pixabay.com/photo/2021/01/20/18/17/cauliflower-5935206_640.jpg
꿀,당류,,,https://watermark.lovepik.com/photo/50118/4796.jpg_wh1200.jpg
낙지,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_049.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_6DCC80D75B8D1C6BFF7A5DBC8C86F85C.jpeg
냉이,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_007.jpg,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A2CAA746B75AB2446FC58CCF0C502A25.jpg
광어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_89E19BD6C7EB1873A337CAE75B84D0A7.jpg
노래미,어패류 및 기타 수산물,,,http://www.traveli.co.kr/repository/show/contents/show_p953_l.JPG
녹두,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_024.jpg,https://watermark.lovepik.com/photo/20211124/large/lovepik-mung-bean-picture_500933080.jpg
녹두묵,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-3061-7/978-89-480-3061-7_A_070.jpg,https://unikorea21.com/wp-content/uploads/2015/09/CS_201410_68.jpg
농어,어패류 및 기타 수산물,,,https://media.istockphoto.com/id/1219746616/ko/사진/농-어.jpg?s=612x612&w=0&k=20&c=UV_lsky1cpUcKIYbB9IfNf9DiiMlRutdwl3U7lUuwRM=
느타리버섯,버섯류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_2D8F99C5F4D36ED4CB6BDDE520AD6935.jpg
다랑어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_2F79C71FDE3FF2D168A1401C89A0A107.jpg
다래,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_8F0F70C192208D064CC00522FFE589B3.jpg
다슬기,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_098.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_97E94512DD75FE4BF13153FB514C4E78.jpg
다시마,해조류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_D4BCB16B253D03FD0AD456D652BDB8B4.jpg
달걀,난류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_DFAA7A61B9DECECB21A6A8ABD365351C.jpg
달래,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_009.jpg,,https://image.utoimage.com/preview/cp975433/2022/05/202205013307_800.jpg
닭고기,육류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0773-2/978-89-480-0773-2_A_084.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_9A54596A0C85414C0E6DABF21DB587C4.jpg
담치,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_089.jpg,http://www.suhyupnews.co.kr/news/photo/202210/29697_24791_4449.jpg
당귀,채소류,,,https://image.utoimage.com/preview/cp975433/2022/04/202204027809_800.jpg
당근,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_AC7E5A16E3C7506991240359E88865B8.jpg
당면,감자 및 전분류,,,https://img3.tmon.kr/cdn4/deals/2024/06/20/27075777746/front_f1d6f_w4yxf.jpg
대구,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_E85DFB76CEC5B7CD2B1854A13787DE67.jpg
대나무순,채소류,,,https://media.techcity.cloud/kontum/2023/06/161546Chuan-bi-nguyen-lieu-de-che-bien-Pang-Choh.-1.jpg
대두,두류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A53968A4880F17D04385D20CC3AD6872.jpg
대추,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A1DA810B83EA3F79676E3B689CACAC4C.jpg
대합,어패류 및 기타 수산물,,,https://img.lovepik.com/photo/20211124/medium/lovepik-clams-picture_500967180.jpg
더덕,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_059.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0771-8/978-89-480-0771-8_A_014.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_F8D8B9458CEA3AA4AFDAF6C68F707272.jpg
도라지,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_042.jpg,,https://cdn.crowdpic.net/detail-thumb/thumb_d_ACDDB3C223DFC9958B53728976D7AC75.jpg
돌나물,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EE5E7F16E2B315A62D673F428BF8B985.jpg
돔,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_196BE1F2F6A92446A09FA76DFC8C9F64.jpg
돼지고기,육류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_054.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_0823FCFF4CD3865D710E20CC7856C2A3.jpg
된장,조미료류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_58225F307B18F9436D5E6129658B329B.jpg
두릅,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_011.jpg,,https://www.nhis.or.kr/static/alim/paper/oldpaper/202204/assets/images/sub/sub09_01.png
두부,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1254-5/978-89-480-1254-5_A_017.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_1BBC74975CDFDCE9B9E78D0154032A25.jpg
들기름,유지류,,,https://img4.tmon.kr/cdn4/deals/2024/05/28/26860879646/26860879646_front_b7ca957b88.jpg
들깨,견과 및 종실류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_B44E4DE26B6DB5A100CA8B900F3CDB7F.jpg
들깻잎,채소류,,,https://cdn.gardening.news/news/photo/202208/22810_34948_1654.jpg
딸기,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_601F07E2856D8B416AAB758CDBA4B2E5.jpg
땅콩,견과 및 종실류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_7F58F72E43FF726B2F172C65231B4960.jpg
뜸부기,해조류,,,https://ojsfile.ohmynews.com/STD_IMG_FILE/2023/0623/IE003168290_STD.jpg
라임,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_548651FF6C22B50CED134310E4544656.jpg
라즈베리,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_6AC2E524CE6C9D7C625B7CAE0CFCB709.jpg
레몬,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EB0511052DBBCB7D3AB215D8D77766F3.jpg
루꼴라,채소류,,,http://postfiles14.naver.net/20140514_13/ginger907_1400026067843UhB00_JPEG/P1400317.JPG?type=w2
리치,과일류,,,https://image.homeplus.kr/rtd/56c23c3a-54cb-4269-a37e-d4a7f7edcd35?w=750
리크,채소류,,,https://partner.yogiyo.co.kr/upload/2023/06/1686802900_1f9d527414f65c85a3d0.jpg
마,감자 및 전분류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_CD7048AEE44948F4FFF87ED6E3A7F593.jpg
마가린,유지류,,,https://img4.tmon.kr/cdn4/deals/2024/02/15/25629872690/25629872690_front_1658795063.jpg
마늘,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_D65B824F076D6F0DC197859F776B7522.jpg
마요네즈,조미료류,,,https://media.istockphoto.com/id/492626190/ko/사진/마요네즈-및-식재료-위에서-보기.jpg?s=1024x1024&w=is&k=20&c=oYkhQczvrcuaz3LCZ50UWG4Nii5UG1DIb7TFuIZordY=
만두,조리가공식품류,,,https://img.lovepik.com/photo/20211126/medium/lovepik-dumpling-still-life-picture_501116706.jpg
맛술,조미료류,,,http://img4.tmon.kr/cdn4/deals/2023/01/17/16957301718/front_94473_s4ozb.jpg
망고,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_9A6D8738FDEA700685EF19D04C9E23F9.jpg
매생이,해조류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_039.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_E2168CE35B03C5A368410FD17DCC128C.jpg
매실,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_1C2B106FD0216CDE3DD287E0AF98A0AB.jpg
머루,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_E52C8E99945407B9103E9599312964D6.jpg
머위,채소류,,,http://www.lampcook.com/wi_files/food_material/123.jpg
멍게,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_5CD78A2F9D23B52E854D47504B6E8B35.jpeg
메기,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_8A7BE33817C1F73EAC9C15D675895C6B.jpg
메뚜기,기타,,,https://cdn.pixabay.com/photo/2017/08/07/09/38/grass-2601991_1280.jpg
메밀,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_072.jpg,https://watermark.lovepik.com/photo/20211126/large/lovepik-organic-buckwheat-rice-picture_501082601.jpg
메추리알,난류,,,https://img.lovepik.com/photo/20211126/large/lovepik-chafing-dish-dish-quail-egg-picture_501079162.jpg
멜론,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_AA8E7E867588BBFA15B88A21F9FB93F0.jpg
멥쌀,곡류 및 그 제품,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_022.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_E74AC01C62B7ED49812923FFE63418F3.jpg
멸치,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_057.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_13523F5870F13AE93ED1AD1646715AAB.jpg
명태,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-3061-7/978-89-480-3061-7_A_051.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_DD59137C466F8DAA19322BCC4CE73AC1.jpg
모과,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_400C525FEBFB914EFDA398D1BE6E1605.jpg
목이버섯,버섯류,,,https://watermark.lovepik.com/photo/20211126/large/lovepik-fresh-auricularia-auricula-picture_501077444.jpg
무,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_6046F73D10B8570483A435F6663E4BB4.jpeg
무청,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_091.jpg,,https://cdn.crowdpic.net/detail-thumb/thumb_d_8A567BBF515F073C64362E8B78DC03A1.jpg
무화과,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_2216CA717DEB760591C5FABED2E52792.jpg
문어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_9F537EBD257EF1428DD8C408FAC8CF5B.jpg
물엿,당류,,,http://img3.tmon.kr/cdn4/deals/2022/12/06/15779314770/15779314770_front_e3b651e9c2.jpg
미꾸리,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0773-2/978-89-480-0773-2_A_086.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_0971F4C08F353754AC6352BEBE0572CB.jpg
미나리,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_096.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_CEF689B48AB9E872ABAEC94E87279BE0.jpg
미더덕,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_DE9178C45D791B415C830A2E23AEBE29.jpeg
미역,해조류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_D523CD9AC072F063085CEB6DC32C56D2.jpg
민어,어패류 및 기타 수산물,,,https://img.etoday.co.kr/pto_db/2023/07/20230721100341_1908385_1200_800.jpg
밀,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_104.jpg,https://cdn.sommeliertimes.com/news/photo/201912/15398_32365_96.jpg
바나나,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_BF3A48FF014D2470A98101E25C697817.jpg
바지락,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_0D65DFC6D11A1AE551EF784FBECCB13F.jpg
바질,채소류,,,https://thumb.photo-ac.com/b7/b77c2c882378f297b498e94a595e3142_t.jpeg
밤,견과 및 종실류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_80CB47D4E0F6C011867909A762B8C6A4.jpg
배,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_786B10EB5A387FD9461D08ADD99C4E1D.jpg
배추,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0771-8/978-89-480-0771-8_A_058.jpg,https://image.utoimage.com/preview/cp975433/2022/05/202205007206_800.jpg
밴댕이,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A8EEA5D1D131D454C79C0FB0F2B8A463.jpg
뱅어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A2B805984DCD7FC0C7681AFDA2776EA3.jpg
버찌,과일류,,,https://cdn.pixabay.com/photo/2019/06/16/21/54/cherries-4278792__480.jpg
버터,유지류,,,https://media.istockphoto.com/id/466662934/ko/사진/와플제조기-및-식재료-생지-달걀-버터-우유-밀가루.jpg?s=1024x1024&w=is&k=20&c=qQ03s9UYbkAYUKdBsma4rvCbK9P6aTmDQnP_1f3P8bk=
